"BOOT_IMAGE",CanMultiSession,PID,UID,"_raw","_time",api,average,"date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone",distance,estimate,eventtype,files,gid,host,index,linecount,longest,lsn,mode,pid,punct,resettable,root,size,source,sourcetype,"splunk_server","splunk_server_group",sync,tag,"tag::eventtype",timeendpos,timestamp,timestartpos,total,uid,vendor,version,write
,,,,"(lightdm-gtk-greeter:2114): Gtk-WARNING **: 11:10:01.064: Drawing a gadget with negative dimensions. Did you forget to allocate a size? (node menubar owner GreeterMenuBar)","2025-11-20T10:10:01.064-0600",,,11,20,10,november,1,thursday,2025,local,,,,,,kali,main,1,,,,,"(--:):_-_**:_::.:______._______?_(___)",,,,"/var/log/lightdm/seat0-greeter.log","linux_logs","tgmp-Ubuntu",,,,,56,,44,,,,,
,,,,"(lightdm-gtk-greeter:2114): Gtk-WARNING **: 11:09:00.990: Drawing a gadget with negative dimensions. Did you forget to allocate a size? (node menubar owner GreeterMenuBar)","2025-11-20T10:09:00.990-0600",,,11,20,9,november,0,thursday,2025,local,,,,,,kali,main,1,,,,,"(--:):_-_**:_::.:______._______?_(___)",,,,"/var/log/lightdm/seat0-greeter.log","linux_logs","tgmp-Ubuntu",,,,,56,,44,,,,,
,,,,"(lightdm-gtk-greeter:2114): Gtk-WARNING **: 11:08:01.003: Drawing a gadget with negative dimensions. Did you forget to allocate a size? (node menubar owner GreeterMenuBar)","2025-11-20T10:08:01.003-0600",,,11,20,8,november,1,thursday,2025,local,,,,,,kali,main,1,,,,,"(--:):_-_**:_::.:______._______?_(___)",,,,"/var/log/lightdm/seat0-greeter.log","linux_logs","tgmp-Ubuntu",,,,,56,,44,,,,,
,,,,"(lightdm-gtk-greeter:2114): Gtk-WARNING **: 11:07:00.338: Drawing a gadget with negative dimensions. Did you forget to allocate a size? (node menubar owner GreeterMenuBar)","2025-11-20T10:07:00.338-0600",,,11,20,7,november,0,thursday,2025,local,,,,,,kali,main,1,,,,,"(--:):_-_**:_::.:______._______?_(___)",,,,"/var/log/lightdm/seat0-greeter.log","linux_logs","tgmp-Ubuntu",,,,,56,,44,,,,,
,,,,"(lightdm-gtk-greeter:2114): Gtk-WARNING **: 11:06:00.140: Drawing a gadget with negative dimensions. Did you forget to allocate a size? (node menubar owner GreeterMenuBar)","2025-11-20T10:06:00.140-0600",,,11,20,6,november,0,thursday,2025,local,,,,,,kali,main,1,,,,,"(--:):_-_**:_::.:______._______?_(___)",,,,"/var/log/lightdm/seat0-greeter.log","linux_logs","tgmp-Ubuntu",,,,,56,,44,,,,,
,,,,"(lightdm-gtk-greeter:2114): Gtk-WARNING **: 11:05:00.805: Drawing a gadget with negative dimensions. Did you forget to allocate a size? (node menubar owner GreeterMenuBar)","2025-11-20T10:05:00.805-0600",,,11,20,5,november,0,thursday,2025,local,,,,,,kali,main,1,,,,,"(--:):_-_**:_::.:______._______?_(___)",,,,"/var/log/lightdm/seat0-greeter.log","linux_logs","tgmp-Ubuntu",,,,,56,,44,,,,,
,,,,"(lightdm-gtk-greeter:2114): Gtk-WARNING **: 11:04:00.389: Drawing a gadget with negative dimensions. Did you forget to allocate a size? (node menubar owner GreeterMenuBar)","2025-11-20T10:04:00.389-0600",,,11,20,4,november,0,thursday,2025,local,,,,,,kali,main,1,,,,,"(--:):_-_**:_::.:______._______?_(___)",,,,"/var/log/lightdm/seat0-greeter.log","linux_logs","tgmp-Ubuntu",,,,,56,,44,,,,,
,,,,"(lightdm-gtk-greeter:2114): Gtk-WARNING **: 11:03:00.987: Drawing a gadget with negative dimensions. Did you forget to allocate a size? (node menubar owner GreeterMenuBar)","2025-11-20T10:03:00.987-0600",,,11,20,3,november,0,thursday,2025,local,,,,,,kali,main,1,,,,,"(--:):_-_**:_::.:______._______?_(___)",,,,"/var/log/lightdm/seat0-greeter.log","linux_logs","tgmp-Ubuntu",,,,,56,,44,,,,,
,,,,"(lightdm-gtk-greeter:2114): Gtk-WARNING **: 11:02:00.502: Drawing a gadget with negative dimensions. Did you forget to allocate a size? (node menubar owner GreeterMenuBar)","2025-11-20T10:02:00.502-0600",,,11,20,2,november,0,thursday,2025,local,,,,,,kali,main,1,,,,,"(--:):_-_**:_::.:______._______?_(___)",,,,"/var/log/lightdm/seat0-greeter.log","linux_logs","tgmp-Ubuntu",,,,,56,,44,,,,,
,,,,"(lightdm-gtk-greeter:2114): Gtk-WARNING **: 11:01:00.223: Drawing a gadget with negative dimensions. Did you forget to allocate a size? (node menubar owner GreeterMenuBar)","2025-11-20T10:01:00.223-0600",,,11,20,1,november,0,thursday,2025,local,,,,,,kali,main,1,,,,,"(--:):_-_**:_::.:______._______?_(___)",,,,"/var/log/lightdm/seat0-greeter.log","linux_logs","tgmp-Ubuntu",,,,,56,,44,,,,,
